"DateTime","Severity","Message"
"11/28/2017 5:10:33 AM","Info","Starting q-background.ps1"
"11/28/2017 5:10:33 AM","Info","Downloading BgInfo"
"11/28/2017 5:10:42 AM","Info","Copying BgInfo script"
"11/28/2017 5:10:42 AM","Info","Setting background and BgInfo"
"11/28/2017 5:12:49 AM","Info","Starting q-background.ps1"
"11/28/2017 5:12:49 AM","Info","Downloading BgInfo"
"11/28/2017 5:12:49 AM","Info","Copying BgInfo script"
"11/28/2017 5:12:49 AM","Info","Setting background and BgInfo"
"11/28/2017 5:13:02 AM","Info","Starting q-user-setup.ps1"
"11/28/2017 5:13:02 AM","Info","Disabling Password Complexity"
"11/28/2017 5:13:04 AM","Info","Installing carbon"
"11/28/2017 5:13:09 AM","Info","Granting Qlik account Remote Interactive Logon Right"
"11/28/2017 5:13:26 AM","Info","Adding Qlik user to Remote Desktop Users"
"11/28/2017 5:13:41 AM","Info","Adding Qlik user to local Administrators"
"11/28/2017 5:13:55 AM","Info","Starting q-provisioned.ps1"
"11/28/2017 5:13:55 AM","Info","Updating Windows License"
"11/28/2017 5:13:55 AM","Info","Checking for Windows Server License."
"11/28/2017 5:13:55 AM","Warn","No License found, please enter license into ../shared-content/licenses/win-license.json"
"11/28/2017 5:13:55 AM","Info","Updating Host file"
"11/28/2017 5:13:55 AM","Info","Starting q-updateHosts"
"11/28/2017 5:13:55 AM","Info","Updating HOSTS file"
"11/28/2017 5:13:56 AM","Info","Server provisioning Complete."
"11/28/2017 5:19:36 AM","Info","Starting q-background.ps1"
"11/28/2017 5:19:37 AM","Info","Downloading BgInfo"
"11/28/2017 5:19:37 AM","Info","Copying BgInfo script"
"11/28/2017 5:19:37 AM","Info","Setting background and BgInfo"
"11/28/2017 5:34:57 AM","Info","Starting q-provisioned.ps1"
"11/28/2017 5:34:57 AM","Info","Updating Windows License"
"11/28/2017 5:34:58 AM","Info","Checking for Windows Server License."
"11/28/2017 5:34:58 AM","Warn","No License found, please enter license into ../shared-content/licenses/win-license.json"
"11/28/2017 5:34:58 AM","Info","Updating Host file"
"11/28/2017 5:34:58 AM","Info","Starting q-updateHosts"
"11/28/2017 5:34:58 AM","Info","Updating HOSTS file"
"11/28/2017 5:35:00 AM","Info","Server provisioning Complete."
"11/28/2017 7:42:18 AM","Info","Starting q-background.ps1"
"11/28/2017 7:42:18 AM","Info","Downloading BgInfo"
"11/28/2017 7:42:23 AM","Info","Copying BgInfo script"
"11/28/2017 7:42:23 AM","Info","Setting background and BgInfo"
"11/28/2017 7:51:28 AM","Info","Starting q-provisioned.ps1"
"11/28/2017 7:51:28 AM","Info","Updating Windows License"
"11/28/2017 7:51:28 AM","Info","Checking for Windows Server License."
"11/28/2017 7:51:28 AM","Warn","No License found, please enter license into ../shared-content/licenses/win-license.json"
"11/28/2017 7:51:28 AM","Info","Updating Host file"
"11/28/2017 7:51:28 AM","Info","Starting q-updateHosts"
"11/28/2017 7:51:28 AM","Info","Updating HOSTS file"
"11/28/2017 7:51:28 AM","Info","Server provisioning Complete."
"11/28/2017 8:02:46 AM","Info","Starting q-background.ps1"
"11/28/2017 8:02:46 AM","Info","Downloading BgInfo"
"11/28/2017 8:02:54 AM","Info","Copying BgInfo script"
"11/28/2017 8:02:54 AM","Info","Setting background and BgInfo"
"11/28/2017 8:11:37 AM","Info","Starting q-provisioned.ps1"
"11/28/2017 8:11:37 AM","Info","Updating Windows License"
"11/28/2017 8:11:37 AM","Info","Checking for Windows Server License."
"11/28/2017 8:11:38 AM","Warn","No License found, please enter license into ../shared-content/licenses/win-license.json"
"11/28/2017 8:11:38 AM","Info","Updating Host file"
"11/28/2017 8:11:38 AM","Info","Starting q-updateHosts"
"11/28/2017 8:11:38 AM","Info","Updating HOSTS file"
"11/28/2017 8:11:38 AM","Info","Server provisioning Complete."
"11/28/2017 8:25:10 AM","Info","Starting q-background.ps1"
"11/28/2017 8:25:10 AM","Info","Downloading BgInfo"
"11/28/2017 8:25:15 AM","Info","Copying BgInfo script"
"11/28/2017 8:25:15 AM","Info","Setting background and BgInfo"
"11/28/2017 8:50:04 AM","Info","Starting q-background.ps1"
"11/28/2017 8:50:05 AM","Info","Downloading BgInfo"
"11/28/2017 8:50:08 AM","Info","Copying BgInfo script"
"11/28/2017 8:50:08 AM","Info","Setting background and BgInfo"
"11/28/2017 8:58:16 AM","Info","Starting q-background.ps1"
"11/28/2017 8:58:16 AM","Info","Downloading BgInfo"
"11/28/2017 8:58:20 AM","Info","Copying BgInfo script"
"11/28/2017 8:58:21 AM","Info","Setting background and BgInfo"
"11/28/2017 9:01:00 AM","Info","Starting q-provisioned.ps1"
"11/28/2017 9:01:00 AM","Info","Updating Windows License"
"11/28/2017 9:01:00 AM","Info","Checking for Windows Server License."
"11/28/2017 9:01:00 AM","Warn","No License found, please enter license into ../shared-content/licenses/win-license.json"
"11/28/2017 9:01:00 AM","Info","Updating Host file"
"11/28/2017 9:01:01 AM","Info","Starting q-updateHosts"
"11/28/2017 9:01:01 AM","Info","Updating HOSTS file"
"11/28/2017 9:01:01 AM","Info","Server provisioning Complete."
"11/29/2017 12:19:27 AM","Info","Starting q-background.ps1"
"11/29/2017 12:19:27 AM","Info","Downloading BgInfo"
"11/29/2017 12:19:31 AM","Info","Copying BgInfo script"
"11/29/2017 12:19:33 AM","Info","Setting background and BgInfo"
"11/29/2017 12:19:52 AM","Info","Starting q-provisioned.ps1"
"11/29/2017 12:19:52 AM","Info","Updating Windows License"
"11/29/2017 12:19:52 AM","Info","Checking for Windows Server License."
"11/29/2017 12:19:53 AM","Warn","No License found, please enter license into ../shared-content/licenses/win-license.json"
"11/29/2017 12:19:53 AM","Info","Updating Host file"
"11/29/2017 12:19:53 AM","Info","Starting q-updateHosts"
"11/29/2017 12:19:53 AM","Info","Updating HOSTS file"
"11/29/2017 12:19:53 AM","Info","Server provisioning Complete."
"11/29/2017 1:28:07 AM","Info","Starting q-background.ps1"
"11/29/2017 1:28:07 AM","Info","Downloading BgInfo"
"11/29/2017 1:28:11 AM","Info","Copying BgInfo script"
"11/29/2017 1:28:12 AM","Info","Setting background and BgInfo"
"11/29/2017 1:38:38 AM","Info","Starting q-provisioned.ps1"
"11/29/2017 1:38:38 AM","Info","Updating Windows License"
"11/29/2017 1:38:38 AM","Info","Checking for Windows Server License."
"11/29/2017 1:38:38 AM","Warn","No License found, please enter license into ../shared-content/licenses/win-license.json"
"11/29/2017 1:38:38 AM","Info","Updating Host file"
"11/29/2017 1:38:38 AM","Info","Starting q-updateHosts"
"11/29/2017 1:38:38 AM","Info","Updating HOSTS file"
"11/29/2017 1:38:39 AM","Info","Server provisioning Complete."
"11/29/2017 6:18:23 AM","Info","Starting q-background.ps1"
"11/29/2017 6:18:23 AM","Info","Downloading BgInfo"
"11/29/2017 6:18:30 AM","Info","Copying BgInfo script"
"11/29/2017 6:18:30 AM","Info","Setting background and BgInfo"
"11/29/2017 6:18:36 AM","Info","Starting q-user-setup.ps1"
"11/29/2017 6:18:36 AM","Info","Disabling Password Complexity"
"11/29/2017 6:18:36 AM","Info","Installing carbon"
"11/29/2017 6:18:38 AM","Info","Granting Qlik account Remote Interactive Logon Right"
"11/29/2017 6:18:49 AM","Info","Adding Qlik user to Remote Desktop Users"
"11/29/2017 6:19:03 AM","Info","Adding Qlik user to local Administrators"
"11/29/2017 6:19:17 AM","Info","Starting qs-getBinary.ps1"
"11/29/2017 6:19:17 AM","Info","Qlik Sense version to install: Qlik Sense November 2017"
"11/29/2017 6:19:17 AM","Info","Binary found for Qlik Sense November 2017"
